iteration,time,id,x,y,speed,orientation,cell,group,status,goal_x,goal_y,radius
10,5,tmimg,5.97208071699591,9.2902279612576,0.4,67.5,0,6,completing goal,6.1595955988548,9.74292893218813,0.29
10,5,yyzwu,4.02791928300409,9.2902279612576,0.4,112.5,0,7,completing goal,3.8404044011452,9.74292893218813,0.29
11,5.5,zeivj,1.48207106781187,4,0.15625,45,0,0,move,8.96792893218814,7,0.25
11,5.5,owkvn,3.66666666666667,1.52207106781187,0.4,-90,0,1,completing goal,3.66666666666667,1.03207106781187,0.29
11,5.5,ttmkh,8.51792893218814,4,0.15625,0,0,2,completing goal,8.96792893218814,4,0.25
11,5.5,rpdha,1.34087572106361,1.34087572106361,0.15625,90,0,3,move,5,12,0.25
11,5.5,qtrki,8.65912427893639,1.34087572106361,0.15625,-45,0,4,completing goal,8.97732233047034,1.02267766952966,0.25
11,5.5,puiiq,1.48207106781187,7,0.15625,0,0,5,move,6.33333333333333,1.03207106781187,0.25
11,5.5,tmimg,5.97208071699591,9.2902279612576,0.4,67.5,0,6,completing goal,6.1595955988548,9.74292893218813,0.29
11,5.5,yyzwu,4.02791928300409,9.2902279612576,0.4,112.5,0,7,completing goal,3.8404044011452,9.74292893218813,0.29
12,6,zeivj,1.58827901160522,4.04952557754774,0.234375,25,8,0,move,8.96792893218814,7,0.25
12,6,owkvn,3.66666666666667,1.52207106781187,0.4,-90,0,1,completing goal,3.66666666666667,1.03207106781187,0.29
12,6,ttmkh,8.51792893218814,4,0.15625,0,0,2,completing goal,8.96792893218814,4,0.25
12,6,rpdha,1.34087572106361,1.34087572106361,0.15625,180,0,3,move,1.03207106781187,7,0.25
12,6,qtrki,8.65912427893639,1.34087572106361,0.15625,-45,0,4,completing goal,8.97732233047034,1.02267766952966,0.25
12,6,puiiq,1.55739774082201,6.910229166822,0.234375,310,10,5,move,6.33333333333333,1.03207106781187,0.25
12,6,tmimg,5.97208071699591,9.2902279612576,0.4,67.5,0,6,completing goal,6.1595955988548,9.74292893218813,0.29
12,6,yyzwu,4.02791928300409,9.2902279612576,0.4,112.5,0,7,completing goal,3.8404044011452,9.74292893218813,0.29
13,6.5,zeivj,1.7580706607576,4.09502111281967,0.3515625,15,7,0,move,8.96792893218814,7,0.25
13,6.5,owkvn,3.66666666666667,1.52207106781187,0.4,-90,0,1,completing goal,3.66666666666667,1.03207106781187,0.29
13,6.5,ttmkh,8.51792893218814,4,0.15625,135,0,2,move,5,12,0.25
13,6.5,rpdha,1.3056367601842,1.45263942622942,0.234375,107.5,11,3,move,1.03207106781187,7,0.25
13,6.5,qtrki,8.65912427893639,1.34087572106361,0.15625,135,0,4,move,5,12,0.25
13,6.5,puiiq,1.64528836582201,6.75799813881301,0.3515625,300,7,5,move,6.33333333333333,1.03207106781187,0.25
13,6.5,tmimg,5.97208071699591,9.2902279612576,0.4,67.5,0,6,completing goal,6.1595955988548,9.74292893218813,0.29
13,6.5,yyzwu,4.02791928300409,9.2902279612576,0.4,112.5,0,7,completing goal,3.8404044011452,9.74292893218813,0.29
14,7,zeivj,2.01275813448616,4.16326441572756,0.52734375,15,6,0,move,8.96792893218814,7,0.25
14,7,owkvn,3.66666666666667,1.52207106781187,0.4,90,0,1,move,5,12,0.29
14,7,ttmkh,8.51792893218814,4,0.15625,180,0,2,move,1.03207106781187,4,0.25
14,7,rpdha,1.28269270295802,1.62691684326778,0.3515625,97.5,7,3,move,1.03207106781187,7,0.25
14,7,qtrki,8.65912427893639,1.34087572106361,0.15625,90,0,4,move,8.96792893218814,4,0.25
14,7,puiiq,1.77712430332201,6.52965159679954,0.52734375,300,6,5,move,6.33333333333333,1.03207106781187,0.25
14,7,tmimg,5.97208071699591,9.2902279612576,0.4,67.5,0,6,completing goal,6.1595955988548,9.74292893218813,0.29
14,7,yyzwu,4.02791928300409,9.2902279612576,0.4,112.5,0,7,completing goal,3.8404044011452,9.74292893218813,0.29
15,7.5,zeivj,2.39478934507901,4.26562937008939,0.791015625,15,6,0,move,8.96792893218814,7,0.25
15,7.5,owkvn,3.66666666666667,1.52207106781187,0.4,0,0,1,move,8.97732233047034,1.02267766952966,0.29
15,7.5,ttmkh,8.40074143218814,4,0.234375,180,6,2,move,1.03207106781187,4,0.25
15,7.5,rpdha,1.29419390861099,1.89033776106769,0.52734375,87.5,7,3,move,1.03207106781187,7,0.25
15,7.5,qtrki,8.67947367475673,1.45628287961973,0.234375,80,7,4,move,8.96792893218814,4,0.25
15,7.5,puiiq,2.03135182473123,6.22667503482377,0.791015625,310,5,5,move,6.33333333333333,1.03207106781187,0.25
15,7.5,tmimg,5.97208071699591,9.2902279612576,0.4,67.5,0,6,completing goal,6.1595955988548,9.74292893218813,0.29
15,7.5,yyzwu,4.02791928300409,9.2902279612576,0.4,112.5,0,7,completing goal,3.8404044011452,9.74292893218813,0.29
16,8,zeivj,2.96783616096827,4.41917680163215,1.1865234375,15,6,0,move,8.96792893218814,7,0.25
16,8,owkvn,3.96210899257033,1.46997661451179,0.6,350,7,1,move,8.97732233047034,1.02267766952966,0.29
16,8,ttmkh,8.22496018218814,4,0.3515625,180,6,2,move,1.03207106781187,4,0.25
16,8,rpdha,1.31144571709045,2.28546913776754,0.791015625,87.5,6,3,move,1.03207106781187,7,0.25
16,8,qtrki,8.70999776848725,1.62939361745391,0.3515625,80,6,4,move,8.96792893218814,4,0.25
16,8,puiiq,2.28557934614046,5.923698472848,0.791015625,310,17,5,move,6.33333333333333,1.03207106781187,0.25
16,8,tmimg,5.97208071699591,9.2902279612576,0.4,67.5,0,6,completing goal,6.1595955988548,9.74292893218813,0.29
16,8,yyzwu,4.02791928300409,9.2902279612576,0.4,112.5,0,7,completing goal,3.8404044011452,9.74292893218813,0.29
17,8.5,zeivj,3.54088297685754,4.5727242331749,1.1865234375,15,17,0,move,8.96792893218814,7,0.25
17,8.5,owkvn,4.40527248142582,1.39183493456167,0.9,350,6,1,move,8.97732233047034,1.02267766952966,0.29
17,8.5,ttmkh,7.96128830718814,4,0.52734375,180,6,2,move,1.03207106781187,4,0.25
17,8.5,rpdha,1.33732342980963,2.87816620281733,1.1865234375,87.5,6,3,move,1.03207106781187,7,0.25
17,8.5,qtrki,8.70999776848725,1.80517486745391,0.3515625,90,16,4,move,8.96792893218814,4,0.25
17,8.5,puiiq,2.33720347489937,5.53157428451168,0.791015625,277.5,20,5,move,6.33333333333333,1.03207106781187,0.25
17,8.5,tmimg,5.97208071699591,9.2902279612576,0.4,67.5,0,6,completing goal,6.1595955988548,9.74292893218813,0.29
17,8.5,yyzwu,4.02791928300409,9.2902279612576,0.4,112.5,0,7,completing goal,3.8404044011452,9.74292893218813,0.29
18,9,zeivj,4.07856069231141,4.82344746951033,1.1865234375,25,16,0,move,8.96792893218814,7,0.25
18,9,owkvn,5.08027248142582,1.39183493456167,1.35,0,5,1,move,8.97732233047034,1.02267766952966,0.29
18,9,ttmkh,7.56578049468814,4,0.791015625,180,6,2,move,1.03207106781187,4,0.25
18,9,rpdha,1.36320114252881,3.47086326786711,1.1865234375,87.5,17,3,move,1.03207106781187,7,0.25
18,9,qtrki,8.70999776848725,2.06884674245391,0.52734375,90,6,4,move,8.96792893218814,4,0.25
18,9,puiiq,2.45613496786737,5.15437177957708,0.791015625,287.5,16,5,move,6.33333333333333,1.03207106781187,0.25
18,9,tmimg,5.97208071699591,9.2902279612576,0.4,67.5,0,6,completing goal,6.1595955988548,9.74292893218813,0.29
18,9,yyzwu,4.02791928300409,9.2902279612576,0.4,112.5,0,7,completing goal,3.8404044011452,9.74292893218813,0.29
19,9.5,zeivj,4.61623840776528,5.07417070584575,1.1865234375,25,17,0,move,8.96792893218814,7,0.25
19,9.5,owkvn,6.09277248142582,1.39183493456167,2.025,0,6,1,move,8.97732233047034,1.02267766952966,0.29
19,9.5,ttmkh,6.97251877593814,4,1.1865234375,180,6,2,move,1.03207106781187,4,0.25
19,9.5,rpdha,1.28576494939045,4.05904955037159,1.1865234375,97.5,16,3,move,1.03207106781187,7,0.25
19,9.5,qtrki,8.70999776848725,2.46435455495391,0.791015625,90,6,4,move,8.96792893218814,4,0.25
19,9.5,puiiq,2.81728981954979,4.68370561333985,1.1865234375,307.5,4,5,move,6.33333333333333,1.03207106781187,0.25
19,9.5,tmimg,5.97208071699591,9.2902279612576,0.4,67.5,0,6,completing goal,6.1595955988548,9.74292893218813,0.29
19,9.5,yyzwu,4.02791928300409,9.2902279612576,0.4,112.5,0,7,completing goal,3.8404044011452,9.74292893218813,0.29
20,10,zeivj,5.15391612321915,5.32489394218118,1.1865234375,25,17,0,move,8.96792893218814,7,0.25
20,10,owkvn,7.10527248142582,1.39183493456167,2.025,0,17,1,move,8.97732233047034,1.02267766952966,0.29
20,10,ttmkh,6.38827003574779,3.89698118365951,1.1865234375,190,16,2,move,1.03207106781187,4,0.25
20,10,rpdha,1.41417028676095,4.63824859756433,1.1865234375,77.5,19,3,move,1.03207106781187,7,0.25
20,10,qtrki,8.70999776848725,3.05761627370391,1.1865234375,90,6,4,move,8.96792893218814,4,0.25
20,10,puiiq,3.17844467123221,4.21303944710262,1.1865234375,307.5,17,5,move,6.33333333333333,1.03207106781187,0.25
20,10,tmimg,5.97208071699591,9.2902279612576,0.4,67.5,0,6,completing goal,6.1595955988548,9.74292893218813,0.29
20,10,yyzwu,4.02791928300409,9.2902279612576,0.4,112.5,0,7,completing goal,3.8404044011452,9.74292893218813,0.29
21,10.5,zeivj,5.69159383867303,5.5756171785166,1.1865234375,25,17,0,move,8.96792893218814,7,0.25
21,10.5,owkvn,8.11777248142582,1.39183493456167,2.025,0,17,1,move,8.97732233047034,1.02267766952966,0.29
21,10.5,ttmkh,5.83078637644365,3.694073725583,1.1865234375,200,16,2,move,1.03207106781187,4,0.25
21,10.5,rpdha,1.60677829281671,5.50704716835343,1.77978515625,77.5,6,3,move,1.03207106781187,7,0.25
21,10.5,qtrki,8.70999776848725,3.65087799245391,1.1865234375,90,17,4,move,8.96792893218814,4,0.25
21,10.5,puiiq,3.6158430912636,3.81223763936188,1.1865234375,317.5,16,5,move,6.33333333333333,1.03207106781187,0.25
21,10.5,tmimg,5.97208071699591,9.2902279612576,0.4,67.5,0,6,completing goal,6.1595955988548,9.74292893218813,0.29
21,10.5,yyzwu,4.02791928300409,9.2902279612576,0.4,112.5,0,7,completing goal,3.8404044011452,9.74292893218813,0.29
22,11,zeivj,6.26464065456229,5.72916461005936,1.1865234375,15,18,0,move,8.96792893218814,7,0.25
22,11,owkvn,8.61633140638826,1.30392554461778,1.0125,350,29,1,move,8.97732233047034,1.02267766952966,0.29
22,11,ttmkh,5.31700665691333,3.397442866208,1.1865234375,210,16,2,move,1.03207106781187,4,0.25
22,11,rpdha,1.6261865773561,5.95156996714077,0.889892578125,87.5,27,3,move,1.03207106781187,7,0.25
22,11,qtrki,8.70999776848725,3.65087799245391,0.15625,53.5430298190715,0,4,completing goal,8.96792893218814,4,0.25
22,11,puiiq,4.053241511295,3.41143583162114,1.1865234375,317.5,17,5,move,6.33333333333333,1.03207106781187,0.25
22,11,tmimg,5.97208071699591,9.2902279612576,0.4,67.5,0,6,completing goal,6.1595955988548,9.74292893218813,0.29
22,11,yyzwu,4.02791928300409,9.2902279612576,0.4,112.5,0,7,completing goal,3.8404044011452,9.74292893218813,0.29
23,11.5,zeivj,6.80231837001616,5.97988784639478,1.1865234375,25,16,0,move,8.96792893218814,7,0.25
23,11.5,owkvn,8.61633140638826,1.30392554461778,0.4,-37.9221411245276,0,1,completing goal,8.97732233047034,1.02267766952966,0.29
23,11.5,ttmkh,5.50961466296909,2.5286442954189,1.77978515625,282.5,1,2,move,1.03207106781187,4,0.25
23,11.5,rpdha,1.4254896829726,6.58809919421791,1.3348388671875,107.5,4,3,move,1.03207106781187,7,0.25
23,11.5,qtrki,8.70999776848725,3.65087799245391,0.15625,53.5430298190715,0,4,completing goal,8.96792893218814,4,0.25
23,11.5,puiiq,3.67715665679186,2.60491925844034,1.77978515625,245,11,5,move,6.33333333333333,1.03207106781187,0.25
23,11.5,tmimg,5.97208071699591,9.2902279612576,0.4,135,0,6,move,5,12,0.29
23,11.5,yyzwu,4.02791928300409,9.2902279612576,0.4,112.5,0,7,completing goal,3.8404044011452,9.74292893218813,0.29
24,12,zeivj,7.33999608547004,6.23061108273021,1.1865234375,25,17,0,move,8.96792893218814,7,0.25
24,12,owkvn,8.61633140638826,1.30392554461778,0.4,-37.9221411245276,0,1,completing goal,8.97732233047034,1.02267766952966,0.29
24,12,ttmkh,5.12427987332135,2.30617115088765,0.889892578125,210,33,2,move,1.03207106781187,4,0.25
24,12,rpdha,1.32514123578085,6.90636380775648,0.66741943359375,107.5,28,3,move,1.03207106781187,7,0.25
24,12,qtrki,8.70999776848725,3.65087799245391,0.15625,53.5430298190715,0,4,completing goal,8.96792893218814,4,0.25
24,12,puiiq,3.73523380164563,2.16377954656197,0.889892578125,277.5,25,5,move,6.33333333333333,1.03207106781187,0.25
24,12,tmimg,5.97208071699591,9.2902279612576,0.4,270,0,6,move,3.66666666666667,1.03207106781187,0.29
24,12,yyzwu,4.02791928300409,9.2902279612576,0.4,112.5,0,7,completing goal,3.8404044011452,9.74292893218813,0.29
25,12.5,zeivj,7.87767380092391,6.48133431906563,1.1865234375,25,17,0,move,8.96792893218814,7,0.25
25,12.5,owkvn,8.61633140638826,1.30392554461778,0.4,-37.9221411245276,0,1,completing goal,8.97732233047034,1.02267766952966,0.29
25,12.5,ttmkh,4.63220665078603,2.75707318459598,1.3348388671875,137.5,11,2,move,1.03207106781187,4,0.25
25,12.5,rpdha,1.32514123578085,6.90636380775648,0.15625,162.281270452114,0,3,completing goal,1.03207106781187,7,0.25
25,12.5,qtrki,8.70999776848725,3.65087799245391,0.15625,53.5430298190715,0,4,completing goal,8.96792893218814,4,0.25
25,12.5,puiiq,4.1642427440237,1.65250659822787,1.3348388671875,310,3,5,move,6.33333333333333,1.03207106781187,0.25
25,12.5,tmimg,5.91998626369583,8.99478563535394,0.6,260,7,6,move,3.66666666666667,1.03207106781187,0.29
25,12.5,yyzwu,4.02791928300409,9.2902279612576,0.4,112.5,0,7,completing goal,3.8404044011452,9.74292893218813,0.29
26,13,zeivj,8.45072061681317,6.63488175060839,1.1865234375,15,18,0,move,8.96792893218814,7,0.25
26,13,owkvn,8.61633140638826,1.30392554461778,0.4,-37.9221411245276,0,1,completing goal,8.97732233047034,1.02267766952966,0.29
26,13,ttmkh,4.38617003951837,2.98252420145014,0.66741943359375,137.5,28,2,move,1.03207106781187,4,0.25
26,13,rpdha,1.32514123578085,6.90636380775648,0.15625,162.281270452114,0,3,completing goal,1.03207106781187,7,0.25
26,13,qtrki,8.70999776848725,3.65087799245391,0.15625,53.5430298190715,0,4,completing goal,8.96792893218814,4,0.25
26,13,puiiq,4.74224492849531,1.31879688143099,1.3348388671875,330,15,5,move,6.33333333333333,1.03207106781187,0.25
26,13,tmimg,5.47383607607761,8.93604884885492,0.9,187.5,11,6,move,3.66666666666667,1.03207106781187,0.29
26,13,yyzwu,4.02791928300409,9.2902279612576,0.4,112.5,0,7,completing goal,3.8404044011452,9.74292893218813,0.29
27,13.5,zeivj,8.71955947454011,6.7602433687761,0.59326171875,25,27,0,move,8.96792893218814,7,0.25
27,13.5,owkvn,8.61633140638826,1.30392554461778,0.4,-37.9221411245276,0,1,completing goal,8.97732233047034,1.02267766952966,0.29
27,13.5,ttmkh,4.15503504108735,3.42653040235364,1.00112915039063,117.5,8,2,move,1.03207106781187,4,0.25
27,13.5,rpdha,1.32514123578085,6.90636380775648,0.15625,162.281270452114,0,3,completing goal,1.03207106781187,7,0.25
27,13.5,qtrki,8.70999776848725,3.65087799245391,0.15625,53.5430298190715,0,4,completing goal,8.96792893218814,4,0.25
27,13.5,puiiq,5.07088484485238,1.26084879723947,0.66741943359375,350,26,5,move,6.33333333333333,1.03207106781187,0.25
27,13.5,tmimg,5.11115884044351,8.36675962293122,1.35,237.5,2,6,move,3.66666666666667,1.03207106781187,0.29
27,13.5,yyzwu,4.02791928300409,9.2902279612576,0.4,112.5,0,7,completing goal,3.8404044011452,9.74292893218813,0.29
28,14,zeivj,8.71955947454011,6.7602433687761,0.15625,43.9891394615493,0,0,completing goal,8.96792893218814,7,0.25
28,14,owkvn,8.61633140638826,1.30392554461778,0.4,-37.9221411245276,0,1,completing goal,8.97732233047034,1.02267766952966,0.29
28,14,ttmkh,4.15503504108735,3.42653040235364,1.00112915039063,180,8,2,move,1.03207106781187,4,0.25
28,14,rpdha,1.32514123578085,6.90636380775648,0.15625,162.281270452114,0,3,completing goal,1.03207106781187,7,0.25
28,14,qtrki,8.70999776848725,3.65087799245391,0.15625,53.5430298190715,0,4,completing goal,8.96792893218814,4,0.25
28,14,puiiq,5.5714494200477,1.26084879723947,1.00112915039063,0,5,5,move,6.33333333333333,1.03207106781187,0.25
28,14,tmimg,4.30788858339863,7.75038867605989,2.025,217.5,8,6,move,3.66666666666667,1.03207106781187,0.29
28,14,yyzwu,4.02791928300409,9.2902279612576,0.4,112.5,0,7,completing goal,3.8404044011452,9.74292893218813,0.29
29,14.5,zeivj,8.71955947454011,6.7602433687761,0.15625,43.9891394615493,0,0,completing goal,8.96792893218814,7,0.25
29,14.5,owkvn,8.61633140638826,1.30392554461778,0.4,-37.9221411245276,0,1,completing goal,8.97732233047034,1.02267766952966,0.29
29,14.5,ttmkh,3.66207516655174,3.51345252864093,1.00112915039063,170,18,2,move,1.03207106781187,4,0.25
29,14.5,rpdha,1.32514123578085,6.90636380775648,0.15625,162.281270452114,0,3,completing goal,1.03207106781187,7,0.25
29,14.5,qtrki,8.70999776848725,3.65087799245391,0.15625,53.5430298190715,0,4,completing goal,8.96792893218814,4,0.25
